Address,Asset,Start_Block,Status,End_Block
0x94a0aeab31479260a9f24951c5ed9b5ddb59f0da,wsteth,17448371,repaid,17448491.0
0x94a0aeab31479260a9f24951c5ed9b5ddb59f0da,wsteth,17450723,repaid,17450826.0
0x94a0aeab31479260a9f24951c5ed9b5ddb59f0da,wsteth,17455209,repaid,17500616.0
0x94a0aeab31479260a9f24951c5ed9b5ddb59f0da,wsteth,17500656,repaid,17501081.0
0x94a0aeab31479260a9f24951c5ed9b5ddb59f0da,wsteth,17507985,repaid,17527191.0
0x387acb7f56a6f29137a21d7eb755a3f638cab45b,wsteth,17448371,forced-liquidation,17939783.0
0x387acb7f56a6f29137a21d7eb755a3f638cab45b,sfrxeth,18022977,active,
0x387acb7f56a6f29137a21d7eb755a3f638cab45b,ll_3,19521327,active,
0x7b820a9e6c5a9d1344076b4b410ffb92741e7fb0,wsteth,17448458,repaid,17538226.0
0x7b820a9e6c5a9d1344076b4b410ffb92741e7fb0,wsteth,18118270,repaid,19531508.0
0x7b820a9e6c5a9d1344076b4b410ffb92741e7fb0,wbtc,17566245,forced-liquidation,17937374.0
0x7b820a9e6c5a9d1344076b4b410ffb92741e7fb0,wbtc,18386768,repaid,18747506.0
0xc0b9bb62c3e793fb63a1488ce1d2bbad5af25e42,wsteth,17448524,self-liquidation,18115535.0
0xc0b9bb62c3e793fb63a1488ce1d2bbad5af25e42,wsteth,18118208,repaid,19546107.0
0x097fe8778c03ad6ac6861ea4927a7eb42b7f78cf,wsteth,17448573,self-liquidation,18115558.0
0x097fe8778c03ad6ac6861ea4927a7eb42b7f78cf,wsteth,18118244,repaid,19546087.0
0xbd3092c766325aa9c6ec96a0f2f25b5f789bf8df,wsteth,17448595,self-liquidation,17480675.0
0xbd3092c766325aa9c6ec96a0f2f25b5f789bf8df,wsteth,17486990,repaid,17627693.0
0x809914b990c578f8ea1ff0a08a5f4e9b531b71aa,wsteth,17448600,active,
0xec4acd7c1d7e24bd47dbdef8b6d4ad117185863f,wsteth,17448620,self-liquidation,18115501.0
0xec4acd7c1d7e24bd47dbdef8b6d4ad117185863f,wsteth,18118136,repaid,19546131.0
0xec4acd7c1d7e24bd47dbdef8b6d4ad117185863f,wbtc,18400168,repaid,18747570.0
0x15739dd2f017ef743f2c3d7f9df1ee160ef3815d,wsteth,17448658,repaid,17538327.0
0x15739dd2f017ef743f2c3d7f9df1ee160ef3815d,wsteth,17975812,self-liquidation,18115639.0
0x15739dd2f017ef743f2c3d7f9df1ee160ef3815d,wsteth,18118444,repaid,19545422.0
0x15739dd2f017ef743f2c3d7f9df1ee160ef3815d,wbtc,18428300,repaid,18435054.0
0x15739dd2f017ef743f2c3d7f9df1ee160ef3815d,wbtc,18436975,repaid,18748533.0
0x0a6e048cd09d23de98e8ab96ce41e791a40dd0d5,wsteth,17448662,repaid,17476921.0
0xf12d5e4cc6b1f8d06ce7331dfd7381a48841c4f7,wsteth,17448733,self-liquidation,18111547.0
0xf12d5e4cc6b1f8d06ce7331dfd7381a48841c4f7,weth,18462181,repaid,18511450.0
0xf12d5e4cc6b1f8d06ce7331dfd7381a48841c4f7,weth,18512405,repaid,18536424.0
0xf12d5e4cc6b1f8d06ce7331dfd7381a48841c4f7,weth,18548224,self-liquidation,18605789.0
0xf12d5e4cc6b1f8d06ce7331dfd7381a48841c4f7,wbtc,19326304,repaid,19485540.0
0x3c92a5c0927d1c913b05102dbb590b27ae2acbd0,wsteth,17448796,repaid,18545312.0
0x7c476cc13932492c6e7384d7d3907eb4187348c9,wsteth,17449023,forced-liquidation,18274041.0
0xc64185f1a9a59874bb659577199c5f8b52d81e80,wsteth,17449054,self-liquidation,18038630.0
0xc64185f1a9a59874bb659577199c5f8b52d81e80,wbtc,18453148,repaid,18573962.0
0xc64185f1a9a59874bb659577199c5f8b52d81e80,wbtc,18574006,repaid,18754436.0
0xdd84ce1adcb3a4908db61a1dfa3353c3974c5a2b,wsteth,17449122,repaid,17810022.0
0x104ed80d2736f09a58f6a95d10dfb855e62943de,wsteth,17449172,repaid,17598357.0
0x104ed80d2736f09a58f6a95d10dfb855e62943de,wsteth,17635571,forced-liquidation,17937447.0
0xe75964124ef01b14259c54e50c8bdec2f8237eca,wsteth,17449339,forced-liquidation,17922275.0
0x51764eab6672b3279f85428324dd64a3c2065d18,wsteth,17449606,self-liquidation,18115569.0
0x51764eab6672b3279f85428324dd64a3c2065d18,wsteth,18256650,repaid,19546058.0
0x51764eab6672b3279f85428324dd64a3c2065d18,wbtc,18416261,repaid,18435078.0
0x51764eab6672b3279f85428324dd64a3c2065d18,wbtc,18437001,repaid,18748556.0
0x0594dea6ad7a6afb0657de956f7dc9039a96cbdf,wsteth,17449641,self-liquidation,18115579.0
0x0594dea6ad7a6afb0657de956f7dc9039a96cbdf,wsteth,18256759,repaid,19546031.0
0x0594dea6ad7a6afb0657de956f7dc9039a96cbdf,wbtc,18437048,repaid,18747981.0
0xde67a207895524923c461f2d4332faf9f3dbdfea,wsteth,17449678,self-liquidation,18115590.0
0xa18e4485ee33cb6fd87faaab2d00b2111d273805,wsteth,17449694,repaid,17462630.0
0xa18e4485ee33cb6fd87faaab2d00b2111d273805,wsteth,17462661,self-liquidation,17714485.0
0xad218345ffe5d789f439503e0359fbe7452b9d9b,wsteth,17449715,self-liquidation,18115598.0
0xf29cff62e5794eba5d34244497ce61ea5eaedd8c,wsteth,17449748,self-liquidation,18115606.0
0xc50e0da985731bbb3e380ca9610c3c1dac2d1c1b,wsteth,17449778,self-liquidation,18115612.0
0xc50e0da985731bbb3e380ca9610c3c1dac2d1c1b,wsteth,18539455,repaid,18770936.0
